Marketing_Airline_Network,total_flights,delayed_flights,delay_rate_pct,avg_delay_minutes
AA,6770999,1116953.0,16.496132993078273,12.899637704864526
DL,5784566,762960.0,13.189580687643637,10.602320895616584
UA,5704963,980335.0,17.183897599335875,14.95480058328161
WN,5302931,1134846.0,21.40035387976951,11.861990284240923
AS,1587113,209891.0,13.224704227109225,7.894127261259911
B6,1076984,275427.0,25.5739175326653,20.194657487947826
NK,818544,150245.0,18.3551525635763,13.732016849430208
F9,556722,134329.0,24.128559676104054,17.928543715130463
G4,466991,105230.0,22.533624845018426,17.234816088532757
HA,329465,30856.0,9.365486470490037,5.709322689815306
VX,17237,3022.0,17.53205314149794,10.88814758948773
