Origin,total_flights,delayed_flights,delay_rate_pct
ATL,1350086,208826.0,15.467607248723414
ORD,1330845,249972.0,18.782953687318958
DEN,1140909,242932.0,21.292846318155085
DFW,1067568,212084.0,19.866088155508596
CLT,882480,140263.0,15.894184570755144
LAX,835604,139934.0,16.746449275015436
SEA,712958,105748.0,14.832290261137402
IAH,674273,111323.0,16.510078262068927
PHX,663279,121202.0,18.27315503732215
LAS,649712,132309.0,20.364253700100967
SFO,585554,103386.0,17.65610003518036
DTW,583278,81720.0,14.010471850472673
MCO,560699,120146.0,21.427896250929642
EWR,553882,133613.0,24.12300814975031
MSP,534845,70911.0,13.258233693873924
LGA,506118,98555.0,19.472731655463747
BOS,497139,92725.0,18.65172517143093
PHL,477232,74084.0,15.523686592684479
SLC,461802,60650.0,13.133334199505416
DCA,451278,78672.0,17.43315650220042
