Origin,total_flights,delay_rate_pct
ATL,1350086,15.467607248723414
ORD,1330845,18.782953687318958
DEN,1140909,21.292846318155085
DFW,1067568,19.866088155508596
CLT,882480,15.894184570755144
LAX,835604,16.746449275015436
SEA,712958,14.832290261137402
IAH,674273,16.510078262068927
PHX,663279,18.27315503732215
LAS,649712,20.364253700100967
SFO,585554,17.65610003518036
DTW,583278,14.010471850472673
MCO,560699,21.427896250929642
EWR,553882,24.12300814975031
MSP,534845,13.258233693873924
LGA,506118,19.472731655463747
BOS,497139,18.65172517143093
PHL,477232,15.523686592684479
SLC,461802,13.133334199505416
DCA,451278,17.43315650220042
