date,year,month,day,day_of_week,day_of_week_num,is_holiday,is_major_holiday,days_to_next_holiday,days_from_prev_holiday,is_holiday_week_before,is_holiday_week_after,is_3days_before_holiday,is_weekend
2018-01-01,2018,1,1,Monday,1,1,1,14,999,0,0,0,0
2018-01-02,2018,1,2,Tuesday,2,0,0,13,1,0,1,0,0
2018-01-03,2018,1,3,Wednesday,3,0,0,12,2,0,1,0,0
2018-01-04,2018,1,4,Thursday,4,0,0,11,3,0,1,0,0
2018-01-05,2018,1,5,Friday,5,0,0,10,4,0,1,0,0
2018-01-06,2018,1,6,Saturday,6,0,0,9,5,0,1,0,1
2018-01-07,2018,1,7,Sunday,7,0,0,8,6,0,1,0,1
2018-01-08,2018,1,8,Monday,1,0,0,7,7,1,1,0,0
2018-01-09,2018,1,9,Tuesday,2,0,0,6,8,1,0,0,0
2018-01-10,2018,1,10,Wednesday,3,0,0,5,9,1,0,0,0
2018-01-11,2018,1,11,Thursday,4,0,0,4,10,1,0,0,0
2018-01-12,2018,1,12,Friday,5,0,0,3,11,1,0,1,0
2018-01-13,2018,1,13,Saturday,6,0,0,2,12,1,0,1,1
2018-01-14,2018,1,14,Sunday,7,0,0,1,13,1,0,1,1
2018-01-15,2018,1,15,Monday,1,1,0,35,14,0,0,0,0
2018-01-16,2018,1,16,Tuesday,2,0,0,34,1,0,1,0,0
2018-01-17,2018,1,17,Wednesday,3,0,0,33,2,0,1,0,0
2018-01-18,2018,1,18,Thursday,4,0,0,32,3,0,1,0,0
2018-01-19,2018,1,19,Friday,5,0,0,31,4,0,1,0,0
2018-01-20,2018,1,20,Saturday,6,0,0,30,5,0,1,0,1
2018-01-21,2018,1,21,Sunday,7,0,0,29,6,0,1,0,1
2018-01-22,2018,1,22,Monday,1,0,0,28,7,0,1,0,0
2018-01-23,2018,1,23,Tuesday,2,0,0,27,8,0,0,0,0
2018-01-24,2018,1,24,Wednesday,3,0,0,26,9,0,0,0,0
2018-01-25,2018,1,25,Thursday,4,0,0,25,10,0,0,0,0
2018-01-26,2018,1,26,Friday,5,0,0,24,11,0,0,0,0
2018-01-27,2018,1,27,Saturday,6,0,0,23,12,0,0,0,1
2018-01-28,2018,1,28,Sunday,7,0,0,22,13,0,0,0,1
2018-01-29,2018,1,29,Monday,1,0,0,21,14,0,0,0,0
2018-01-30,2018,1,30,Tuesday,2,0,0,20,15,0,0,0,0
2018-01-31,2018,1,31,Wednesday,3,0,0,19,16,0,0,0,0
2018-02-01,2018,2,1,Thursday,4,0,0,18,17,0,0,0,0
2018-02-02,2018,2,2,Friday,5,0,0,17,18,0,0,0,0
2018-02-03,2018,2,3,Saturday,6,0,0,16,19,0,0,0,1
2018-02-04,2018,2,4,Sunday,7,0,0,15,20,0,0,0,1
2018-02-05,2018,2,5,Monday,1,0,0,14,21,0,0,0,0
2018-02-06,2018,2,6,Tuesday,2,0,0,13,22,0,0,0,0
2018-02-07,2018,2,7,Wednesday,3,0,0,12,23,0,0,0,0
2018-02-08,2018,2,8,Thursday,4,0,0,11,24,0,0,0,0
2018-02-09,2018,2,9,Friday,5,0,0,10,25,0,0,0,0
2018-02-10,2018,2,10,Saturday,6,0,0,9,26,0,0,0,1
2018-02-11,2018,2,11,Sunday,7,0,0,8,27,0,0,0,1
2018-02-12,2018,2,12,Monday,1,0,0,7,28,1,0,0,0
2018-02-13,2018,2,13,Tuesday,2,0,0,6,29,1,0,0,0
