date,holiday_name,is_major_holiday,holiday_category,impact_level,year,month,day,day_of_week,day_of_week_num
2018-01-01,New Year's Day,1,Winter Holiday,extreme,2018,1,1,Monday,1
2018-01-15,Martin Luther King Jr. Day,0,Other Holiday,medium,2018,1,15,Monday,1
2018-02-19,Washington's Birthday,0,Other Holiday,medium,2018,2,19,Monday,1
2018-03-11,Spring Break,0,School Break,high,2018,3,11,Sunday,7
2018-03-12,Spring Break,0,School Break,high,2018,3,12,Monday,1
2018-03-13,Spring Break,0,School Break,high,2018,3,13,Tuesday,2
2018-03-14,Spring Break,0,School Break,high,2018,3,14,Wednesday,3
2018-03-15,Spring Break,0,School Break,high,2018,3,15,Thursday,4
2018-03-16,Spring Break,0,School Break,high,2018,3,16,Friday,5
2018-03-17,Spring Break,0,School Break,high,2018,3,17,Saturday,6
2018-03-18,Spring Break,0,School Break,high,2018,3,18,Sunday,7
2018-03-19,Spring Break,0,School Break,high,2018,3,19,Monday,1
2018-03-20,Spring Break,0,School Break,high,2018,3,20,Tuesday,2
2018-05-28,Memorial Day,1,Summer Holiday,high,2018,5,28,Monday,1
2018-06-15,Summer Vacation Peak,0,Summer Peak,medium,2018,6,15,Friday,5
2018-06-22,Summer Vacation Peak,0,Summer Peak,medium,2018,6,22,Friday,5
2018-06-29,Summer Vacation Peak,0,Summer Peak,medium,2018,6,29,Friday,5
2018-07-04,Independence Day,1,Summer Holiday,high,2018,7,4,Wednesday,3
2018-07-06,Summer Vacation Peak,0,Summer Peak,medium,2018,7,6,Friday,5
2018-07-13,Summer Vacation Peak,0,Summer Peak,medium,2018,7,13,Friday,5
2018-07-20,Summer Vacation Peak,0,Summer Peak,medium,2018,7,20,Friday,5
2018-07-27,Summer Vacation Peak,0,Summer Peak,medium,2018,7,27,Friday,5
2018-08-03,Summer Vacation Peak,0,Summer Peak,medium,2018,8,3,Friday,5
2018-08-10,Summer Vacation Peak,0,Summer Peak,medium,2018,8,10,Friday,5
2018-09-03,Labor Day,1,Summer Holiday,high,2018,9,3,Monday,1
2018-10-08,Columbus Day,0,Other Holiday,medium,2018,10,8,Monday,1
2018-11-11,Veterans Day,0,Other Holiday,medium,2018,11,11,Sunday,7
2018-11-12,Veterans Day (observed),0,Other Holiday,medium,2018,11,12,Monday,1
2018-11-19,Thanksgiving Week,1,Winter Holiday,extreme,2018,11,19,Monday,1
2018-11-20,Thanksgiving Week,1,Winter Holiday,extreme,2018,11,20,Tuesday,2
2018-11-21,Thanksgiving Week,1,Winter Holiday,extreme,2018,11,21,Wednesday,3
2018-11-22,Thanksgiving Day,0,Other Holiday,medium,2018,11,22,Thursday,4
2018-11-23,Thanksgiving Week,1,Winter Holiday,extreme,2018,11,23,Friday,5
2018-11-24,Thanksgiving Week,1,Winter Holiday,extreme,2018,11,24,Saturday,6
2018-12-22,Christmas Week,1,Winter Holiday,extreme,2018,12,22,Saturday,6
2018-12-23,Christmas Week,1,Winter Holiday,extreme,2018,12,23,Sunday,7
2018-12-24,Christmas Week,1,Winter Holiday,extreme,2018,12,24,Monday,1
2018-12-25,Christmas Day,1,Winter Holiday,extreme,2018,12,25,Tuesday,2
2018-12-26,Christmas Week,1,Winter Holiday,extreme,2018,12,26,Wednesday,3
2018-12-27,Christmas Week,1,Winter Holiday,extreme,2018,12,27,Thursday,4
2018-12-28,Christmas Week,1,Winter Holiday,extreme,2018,12,28,Friday,5
2019-01-01,New Year's Day,1,Winter Holiday,extreme,2019,1,1,Tuesday,2
2019-01-21,Martin Luther King Jr. Day,0,Other Holiday,medium,2019,1,21,Monday,1
2019-02-18,Washington's Birthday,0,Other Holiday,medium,2019,2,18,Monday,1
2019-03-11,Spring Break,0,School Break,high,2019,3,11,Monday,1
2019-03-12,Spring Break,0,School Break,high,2019,3,12,Tuesday,2
2019-03-13,Spring Break,0,School Break,high,2019,3,13,Wednesday,3
2019-03-14,Spring Break,0,School Break,high,2019,3,14,Thursday,4
